MS SubClass,MS Zoning,Lot Frontage,Lot Area,Lot Shape,Land Contour,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,Gr Liv Area,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Sale Type,Sale Condition,SalePrice,SalePrice_log,HasPool,HasScreenPorch,Has3SsnPorch,HasEncloseddPorch,HasOpendPorch,HasOpenPorch,HasWoodDeck,HasGarage,HasMasonry,HasBsmt,Total Baths AbvGr,Total Baths Bsmt,Gr Liv Area 2,Gr Liv Area 3
20,RL,4.465908118654584,9.323222529032854,IR1,Lvl,Somerst,PosN,1Fam,1Story,8,5,2008,2008,Gable,VinylSd,VinylSd,Stone,5.484796933490655,Gd,TA,PConc,Gd,TA,Mn,Unf,0.0,Unf,7.436617265234227,GasA,Ex,Y,SBrkr,7.436617265234227,3,1,Gd,7,Typ,0,NoFireplace,Attchd,2008.0,RFn,3.0,6.880384082186005,TA,TA,Y,4.795790545596741,WD ,Normal,275000,12.524526376648708,0,0,0,0,1,1,1,1,1,0,2.0,0.0,55.30327634957979,411.26929972530473
30,RL,4.174387269895637,9.42084437974393,IR1,Lvl,Edwards,Norm,1Fam,1Story,4,5,1940,1940,Gable,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,5.572154032177765,Unf,6.759255270663693,GasA,Ex,Y,SBrkr,6.759255270663693,1,1,TA,4,Typ,0,NoFireplace,Detchd,1961.0,Unf,2.0,6.29156913955832,TA,TA,Y,5.068904202220232,WD ,Normal,82500,11.320553572322773,0,0,0,0,0,0,1,1,0,1,1.0,0.0,45.68753181399491,308.81369021736026
60,RL,4.574710978503383,9.271341393533582,IR1,Lvl,SawyerW,Norm,1Fam,2Story,7,5,2004,2004,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Gd,Unf,0.0,Unf,6.728628613084702,GasA,Ex,Y,SBrkr,7.502738210754851,3,1,Gd,8,Typ,0,NoFireplace,BuiltIn,2004.0,RFn,2.0,6.171700597410915,TA,TA,Y,4.990432586778736,WD ,Normal,193000,12.170445467887022,0,0,0,0,1,1,1,1,0,0,2.5,0.0,56.2910806591209,422.3372417858697
20,RL,4.158883083359672,9.47830431356186,Reg,Lvl,SawyerW,RRAe,1Fam,1Story,6,5,2004,2004,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,ALQ,6.848005274576363,Unf,7.055312843339752,GasA,Ex,Y,SBrkr,7.055312843339752,3,1,Gd,5,Typ,0,NoFireplace,Detchd,2006.0,Unf,2.0,6.3578422665081,TA,TA,Y,0.0,New,Partial,158000,11.970350312009105,0,0,0,0,1,1,0,1,0,1,1.5,1.0,49.77743931739485,351.195406924581
90,RL,3.9318256327243257,9.143238568435446,Reg,Lvl,Edwards,Norm,Duplex,SFoyer,5,5,1975,1975,Gable,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,6.762729506931879,Unf,6.762729506931879,GasA,Fa,N,SBrkr,6.762729506931879,2,1,TA,4,Typ,0,NoFireplace,NoGrg,0.0,NoGrg,0.0,0.0,NoGrg,NoGrg,Y,0.0,WD ,Normal,99600,11.50891744357269,0,0,0,0,0,0,0,0,0,1,1.0,1.0,45.734510383927095,309.2901228584662
30,RM,3.8712010109078903,8.435766192720509,Reg,Lvl,OldTown,Artery,1Fam,1Story,4,6,1945,1945,Gable,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0.0,Unf,6.617402977974478,GasA,TA,Y,SBrkr,6.617402977974478,2,1,TA,4,Typ,0,NoFireplace,Attchd,1945.0,Unf,1.0,5.3981627015177525,TA,TA,Y,0.0,WD ,Normal,80000,11.289781913656018,0,0,0,0,0,0,0,1,0,0,1.0,0.0,43.79002217290549,289.7762231325532
20,RL,4.48863636973214,9.177920480720072,Reg,Lvl,NAmes,Norm,1Fam,1Story,5,6,1967,1967,Gable,Wd Sdng,Plywood,BrkFace,5.594711379601839,TA,TA,CBlock,TA,TA,No,BLQ,6.918695219020472,Unf,7.32052696227274,GasA,Ex,Y,SBrkr,7.32052696227274,3,1,Gd,6,Typ,0,NoFireplace,Attchd,1967.0,RFn,2.0,6.249975242259483,TA,TA,Y,0.0,WD ,Normal,178900,12.09458226949681,0,1,0,0,1,1,0,1,1,1,2.0,1.0,53.59011500536215,392.3078818080505
20,RL,4.691347882229144,9.337765660231424,IR1,Lvl,NWAmes,Norm,1Fam,1Story,7,7,1972,1987,Hip,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,5.849324779946859,Unf,7.025538314638521,GasA,TA,Y,SBrkr,7.384610383176974,3,1,Gd,8,Typ,1,TA,Attchd,1972.0,RFn,2.0,6.246106765481563,TA,TA,Y,5.313205979041787,WD ,Normal,185000,12.128111104060462,0,1,0,0,0,0,1,1,0,1,2.0,0.0,54.53247051132517,402.701047958224
85,RL,4.290459441148391,9.144307401371744,Reg,Bnk,Mitchel,Norm,1Fam,SFoyer,6,7,1977,1977,Gable,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,Av,GLQ,6.735780014242327,LwQ,6.86484777797086,GasA,TA,Y,SBrkr,7.160845906664299,2,1,TA,5,Typ,2,Fa,Attchd,1977.0,RFn,2.0,6.295266001439646,TA,TA,Y,5.713732805509369,WD ,Normal,173000,12.061046873479915,0,1,0,0,1,1,1,1,0,1,1.5,1.0,51.27771409899085,367.19180910886087
60,RL,4.23410650459726,9.163667963777751,IR1,Lvl,CollgCr,Norm,1Fam,2Story,7,5,2001,2001,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,6.740519359606223,GasA,Ex,Y,SBrkr,7.43307534889858,3,1,Gd,7,Typ,0,NoFireplace,Attchd,2001.0,RFn,2.0,6.249975242259483,TA,TA,Y,0.0,WD ,Normal,190550,12.157669906302006,0,0,0,0,1,1,0,1,0,0,2.5,0.0,55.250609142403746,410.68194082803177
90,RL,4.262679877041316,8.997023381479709,Reg,Lvl,NAmes,Norm,Duplex,1Story,5,5,1958,1958,Hip,Wd Sdng,Wd Sdng,Stone,5.564520407322694,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,7.353081920515432,GasA,TA,Y,SBrkr,7.353081920515432,4,2,TA,8,Typ,0,NoFireplace,Detchd,1958.0,Unf,2.0,6.184148890937483,TA,TA,Y,0.0,WD ,Normal,128600,11.764462090785656,0,0,0,0,0,0,0,1,1,0,2.0,0.0,54.067813729810915,397.56506361846874
60,RL,4.727387818712341,9.708202329350314,IR1,Lvl,NridgHt,Norm,1Fam,2Story,8,5,2003,2003,Gable,VinylSd,VinylSd,BrkFace,5.402677381872279,Gd,TA,PConc,Ex,TA,Gd,Unf,0.0,Unf,7.476472381163905,GasA,Ex,Y,SBrkr,7.897668150726906,4,1,Gd,9,Typ,1,Gd,BuiltIn,2003.0,Fin,3.0,6.679599185844383,TA,TA,Y,5.594711379601839,WD ,Normal,370000,12.821258284620408,0,0,0,0,1,1,1,1,1,0,2.5,0.0,62.37316221900615,492.6025367171676
20,RL,4.454347296253507,9.271341393533582,Reg,Lvl,NAmes,Norm,1Fam,1Story,7,5,1970,1970,Flat,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,Gd,Gd,GLQ,6.658011045870748,Unf,7.15305163493748,GasA,TA,Y,SBrkr,7.15305163493748,2,1,TA,5,Typ,1,Po,Attchd,1970.0,Unf,2.0,6.267200548541362,TA,TA,Y,0.0,WD ,Normal,167000,12.025749091398891,0,1,0,0,0,0,0,1,0,1,1.0,1.0,51.16614769208176,365.99409640229794
60,RL,4.394449154672439,9.247925132303454,IR1,Lvl,NWAmes,PosN,1Fam,2Story,7,6,1973,1973,Gable,HdBoard,HdBoard,Stone,5.484796933490655,TA,TA,CBlock,Gd,TA,Mn,ALQ,6.756932389247553,BLQ,7.010311867307229,GasA,Ex,Y,SBrkr,7.645397699428633,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2.0,6.184148890937483,TA,TA,Y,5.4638318050256105,WD ,Normal,200000,12.206072645530174,0,0,0,1,1,1,1,1,1,1,2.5,1.0,58.45210598242864,446.88959660481856
20,RL,4.330733340286331,8.907747686788648,Reg,Lvl,NAmes,Norm,1Fam,1Story,5,6,1959,2002,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,6.0063531596017325,Unf,6.96979066990159,GasA,Gd,Y,SBrkr,7.191429330036379,3,1,Gd,7,Typ,0,NoFireplace,Detchd,1974.0,Unf,2.0,6.437751649736401,TA,TA,Y,0.0,WD ,Normal,150750,11.923378114589433,0,0,0,0,0,0,0,1,0,1,1.0,1.0,51.71665580890748,371.91667543557355
60,RL,4.110873864173311,9.01663425631559,IR1,Lvl,Gilbert,Norm,1Fam,2Story,6,5,1997,1998,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,6.55250788703459,Unf,6.70196036600254,GasA,Ex,Y,SBrkr,7.330405211844402,3,1,TA,6,Typ,1,TA,Attchd,1997.0,Fin,2.0,5.993961427306569,TA,TA,Y,6.045005314036012,WD ,Normal,183500,12.11996994647676,0,0,0,0,1,1,1,1,0,1,2.5,1.0,53.734840569835576,393.89815537075077
50,RM,3.9318256327243257,9.105090961257083,Reg,Bnk,IDOTRR,Norm,1Fam,1.5Fin,6,6,1937,1937,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,Gd,PConc,TA,TA,No,Unf,0.0,Unf,6.660575149839686,GasA,TA,Y,SBrkr,7.226936018493289,3,1,Gd,6,Typ,1,Gd,Detchd,1979.0,Unf,1.0,6.300785794663244,TA,TA,P,0.0,WD ,Normal,141000,11.856515169360303,0,1,0,0,1,1,0,1,0,0,1.5,0.0,52.228604215395634,377.4527809998731
20,RL,4.356708826689592,9.211439767419485,Reg,Lvl,Mitchel,Norm,1Fam,1Story,5,5,1974,1975,Gable,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,6.977281341630747,LwQ,7.237059026124737,GasA,Gd,Y,SBrkr,7.237059026124737,2,1,TA,6,Typ,1,TA,Attchd,1975.0,RFn,2.0,6.037870919922137,TA,TA,Y,5.484796933490655,WD ,Normal,170000,12.0435537160324,0,0,0,0,1,1,1,1,0,1,1.0,1.0,52.375023347613535,379.0411354613404
45,RL,4.110873864173311,9.169622538697624,Reg,Lvl,NAmes,Norm,1Fam,1.5Unf,5,7,1949,2003,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,5.3981627015177525,Unf,6.740519359606223,GasA,TA,Y,SBrkr,6.795705775173515,2,1,Gd,4,Typ,0,NoFireplace,Detchd,1985.0,Unf,2.0,6.3578422665081,TA,TA,Y,0.0,WD ,Normal,135000,11.813030057420567,0,0,0,0,0,0,0,1,0,1,1.0,0.5,46.18161698272666,313.8366812363668
90,RL,4.394449154672439,9.358846580275406,Reg,Lvl,NAmes,Feedr,Duplex,2Story,5,5,1960,1960,Gable,MetalSd,MetalSd,BrkFace,5.891644211825771,TA,TA,CBlock,TA,TA,No,Rec,6.095824562432225,Unf,7.00850518208228,GasA,TA,Y,FuseA,7.729735331385051,5,2,TA,12,Typ,0,NoFireplace,Detchd,1960.0,Unf,2.0,6.175867270105761,TA,TA,Y,0.0,WD ,Normal,154300,11.946654038351252,0,0,0,0,0,0,0,1,1,1,2.0,0.0,59.74880829326236,461.8424744725822
60,RL,4.07753744390572,9.727406483331627,IR2,Lvl,NoRidge,Norm,1Fam,2Story,7,5,1998,1998,Gable,VinylSd,VinylSd,BrkFace,3.4339872044851463,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,7.086737934510577,GasA,Gd,Y,SBrkr,7.517520850603031,4,1,TA,7,Typ,0,NoFireplace,Attchd,1998.0,Fin,2.0,6.18826412308259,TA,TA,Y,0.0,WD ,Normal,221000,12.30591798049989,0,0,0,0,1,1,0,1,1,0,2.5,0.0,56.513119739251316,424.8385559724475
120,RM,4.262679877041316,9.016755622903515,IR1,Lvl,other,Norm,TwnhsE,1Story,7,5,1986,1986,Gable,BrkFace,Wd Sdng,None,0.0,Gd,TA,CBlock,NoBsmt,NoBsmt,NoBsmt,NoBsmt,0.0,NoBsmt,0.0,GasA,Gd,Y,SBrkr,7.16703787691222,2,1,Gd,5,Typ,0,NoFireplace,Attchd,1986.0,RFn,1.0,5.746203190540153,TA,TA,Y,0.0,WD ,Normal,230000,12.345834587905332,0,0,0,0,0,0,0,1,0,0,2.0,0.0,51.36643192909442,368.1451632376529
20,RL,4.304065093204169,9.093806555720231,IR1,Lvl,Gilbert,Norm,1Fam,1Story,7,5,2007,2007,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,3.218875824868201,Unf,7.201170883281678,GasA,Ex,Y,SBrkr,7.201170883281678,3,1,Gd,6,Typ,0,NoFireplace,Attchd,2007.0,Fin,2.0,5.983936280687191,TA,TA,Y,4.61512051684126,New,Partial,181134,12.106992367829498,0,0,0,0,1,1,1,1,0,1,2.0,0.0,51.85686209022383,373.4301253824733
120,RM,3.49650756146648,8.412054873292933,Reg,Lvl,Mitchel,Norm,TwnhsE,1Story,6,5,1998,1998,Hip,VinylSd,VinylSd,BrkFace,5.771441123130016,TA,TA,PConc,Ex,TA,No,GLQ,6.765038976780541,Unf,7.094234845924755,GasA,Ex,Y,SBrkr,7.094234845924755,2,1,TA,5,Typ,0,NoFireplace,Attchd,1998.0,Fin,2.0,6.023447592961033,TA,TA,Y,0.0,WD ,Normal,162000,11.99535161421452,0,0,0,0,1,1,0,1,1,1,2.0,1.0,50.32816804913303,357.0398435057165
60,RL,4.189654742026425,9.075779878580487,IR1,Lvl,Gilbert,Norm,1Fam,2Story,7,5,2002,2002,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,6.354370040797351,Unf,6.75110146893676,GasA,Ex,Y,SBrkr,7.59890045687141,4,1,Gd,8,Typ,1,Gd,BuiltIn,2002.0,Fin,2.0,6.077642243349034,TA,TA,Y,5.579729825986222,WD ,Normal,219500,12.299107511497365,0,0,0,0,1,1,1,1,0,1,2.5,0.0,57.74328815344052,438.7854987304366
20,RL,4.262679877041316,9.2610334862917,Reg,Lvl,Edwards,Norm,1Fam,1Story,5,8,1955,1999,Hip,MetalSd,MetalSd,Stone,5.10594547390058,TA,TA,CBlock,TA,TA,Mn,Unf,0.0,Unf,6.964135612418245,GasA,Gd,Y,SBrkr,6.964135612418245,3,1,Gd,6,Typ,0,NoFireplace,Attchd,1955.0,Unf,1.0,5.666426688112432,TA,TA,Y,0.0,WD ,Normal,137000,11.827736204810265,0,0,0,0,0,0,0,1,1,0,1.0,0.5,48.49918482815204,337.75490023498827
70,RL,4.158883083359672,8.294299608857235,Reg,Lvl,Crawfor,Norm,1Fam,2Story,7,8,1930,1995,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,Gd,TA,No,GLQ,5.5093883366279774,Unf,6.2766434893416445,GasA,TA,Y,SBrkr,7.002155954403621,2,1,TA,5,Typ,1,Gd,Detchd,1930.0,Unf,1.0,5.37989735354046,TA,TA,Y,0.0,WD ,Normal,148500,11.908340237224891,0,0,0,0,0,0,0,1,0,1,1.0,1.0,49.03018800979009,343.3170229182807
70,C (all),3.9318256327243257,9.04793908261736,Reg,Lvl,IDOTRR,Feedr,1Fam,2Story,4,4,1920,1920,Gambrel,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0.0,Unf,6.476972362889683,GasA,TA,N,SBrkr,7.183870715062453,3,1,TA,6,Typ,0,NoFireplace,Detchd,1920.0,Unf,1.0,5.525452939131784,TA,Fa,N,0.0,WD ,Normal,40000,10.596634733096073,0,0,0,1,1,1,0,1,0,0,1.0,0.0,51.60799845073191,370.7451887332014
20,RL,4.343805421853684,9.337501517592862,IR1,Lvl,NAmes,Norm,1Fam,1Story,7,7,1958,2001,Gable,HdBoard,HdBoard,BrkFace,4.836281906951478,TA,TA,CBlock,TA,TA,No,BLQ,6.45833828334479,Unf,7.180069874302796,GasA,Ex,Y,SBrkr,7.180069874302796,3,1,TA,6,Typ,1,Gd,Attchd,1958.0,RFn,2.0,6.206575926724928,TA,TA,Y,0.0,WD ,Normal,186000,12.133501952695338,0,0,0,1,1,1,0,1,1,1,1.5,0.0,51.55340339987057,370.15703866919
70,RL,4.110873864173311,8.881975184248867,Reg,Lvl,OldTown,Artery,1Fam,2Story,7,9,1910,2008,Gable,VinylSd,VinylSd,None,0.0,Gd,Gd,PConc,TA,TA,No,Unf,0.0,Unf,6.329720905522696,GasA,Ex,Y,SBrkr,7.43307534889858,4,1,Gd,5,Typ,0,NoFireplace,Detchd,2008.0,Unf,2.0,6.437751649736401,TA,TA,Y,0.0,WD ,Normal,156500,11.960811288962343,0,0,0,1,0,0,0,1,0,0,2.0,0.0,55.250609142403746,410.68194082803177
20,RL,4.262679877041316,9.036106025364846,Reg,Lvl,CollgCr,Norm,1Fam,1Story,7,5,2004,2005,Gable,VinylSd,VinylSd,BrkFace,4.700480365792417,Gd,TA,PConc,Gd,TA,Av,GLQ,6.569481420414296,Unf,7.295735072749282,GasA,Ex,Y,SBrkr,7.3031700512368,3,1,Gd,7,Typ,0,NoFireplace,Attchd,2004.0,RFn,2.0,6.408528791059498,TA,TA,Y,0.0,WD ,Normal,213000,12.269047444691562,0,0,1,0,1,1,0,1,1,1,2.0,1.0,53.33629279728213,389.5240162011079
20,RL,4.158883083359672,9.4478600892349,IR1,Lvl,NWAmes,Norm,1Fam,1Story,7,6,1988,1988,Gable,Plywood,Wd Sdng,BrkFace,4.634728988229636,Gd,TA,CBlock,Gd,Gd,Mn,GLQ,6.891625897052253,Unf,7.424165281042028,GasA,Ex,Y,SBrkr,7.4318919168078,2,1,Ex,6,Typ,1,Ex,Attchd,1988.0,RFn,2.0,6.270988431858299,TA,TA,Y,0.0,WD ,Normal,226500,12.330500223905226,0,1,0,0,1,1,0,1,1,1,2.0,1.0,55.233017463113114,410.4858160250144
60,RL,4.454347296253507,9.38437770918244,Reg,Lvl,Gilbert,Norm,1Fam,2Story,5,6,1977,1977,Gable,HdBoard,Wd Sdng,BrkFace,5.062595033026967,TA,TA,PConc,Gd,TA,No,ALQ,5.993961427306569,Unf,7.023758954738443,GasA,Ex,Y,SBrkr,7.567862605463882,3,1,TA,6,Typ,1,TA,Attchd,1977.0,Unf,2.0,6.342121418721152,TA,TA,P,0.0,WD ,Normal,185000,12.128111104060462,0,1,0,0,1,1,0,1,1,1,2.5,1.0,57.27254441517857,433.43074719939915
60,RL,4.262679877041316,9.324383088016845,IR1,HLS,Gilbert,Norm,1Fam,2Story,6,5,1997,1997,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,6.572282542694008,Unf,6.688354713946762,GasA,Gd,Y,SBrkr,7.321188556739479,3,1,TA,8,Typ,1,TA,Attchd,1997.0,Fin,2.0,6.025865973825314,TA,TA,Y,4.564348191467836,WD ,Normal,185000,12.128111104060462,0,0,0,0,1,1,1,1,0,1,2.5,1.0,53.59980188333309,392.4142561917614
60,RL,4.454347296253507,9.683900170549684,IR1,Lvl,StoneBr,Norm,1Fam,2Story,9,5,2005,2006,Hip,CemntBd,CmentBd,Stone,5.342334251964811,Gd,TA,PConc,Ex,TA,Av,GLQ,5.484796933490655,Unf,7.597396320212795,GasA,Ex,Y,SBrkr,7.961718815981363,4,1,Ex,11,Typ,1,Gd,BuiltIn,2005.0,Fin,3.0,6.57507584059962,TA,TA,Y,5.3706380281276624,New,Partial,556581,13.229567991666638,0,0,0,0,1,1,1,1,1,1,3.5,0.0,63.38896650475167,504.68512734649374
45,RH,4.110873864173311,9.105090961257083,Reg,Lvl,SawyerW,Norm,1Fam,1.5Unf,6,3,1928,1928,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,Fa,Fa,No,Unf,0.0,Unf,6.665683717782408,GasA,TA,N,FuseA,6.665683717782408,2,1,TA,5,Typ,0,NoFireplace,Detchd,1950.0,Unf,2.0,5.8888779583328805,Fa,Fa,N,0.0,WD ,Normal,76000,11.238488619268468,0,0,0,1,0,0,0,1,0,0,1.0,0.0,44.431339425509506,296.1652557678823
